id,alert_id,entity_id,investigator,narrative,investigation_depth,sla_hours
case-005542,al-010166,ent-002,analyst-15,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005543,al-010168,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005544,al-010170,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005545,al-010172,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005546,al-010174,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005547,al-010176,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005548,al-010178,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005549,al-010180,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005550,al-010182,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005551,al-010183,ent-007,analyst-08,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005552,al-010184,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005553,al-010186,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005554,al-010188,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005555,al-010190,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005556,al-010192,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005557,al-010194,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005558,al-010196,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005559,al-010198,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005560,al-010200,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005561,al-010202,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005562,al-010204,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005563,al-010206,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005564,al-010208,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005565,al-010210,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005566,al-010212,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005567,al-010214,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005568,al-010215,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005569,al-010216,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005570,al-010217,ent-005,analyst-18,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005571,al-010218,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005572,al-010220,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005573,al-010222,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005574,al-010224,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005575,al-010226,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005576,al-010228,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005577,al-010230,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005578,al-010232,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005579,al-010234,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005580,al-010236,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005581,al-010238,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005582,al-010240,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005583,al-010242,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005584,al-010244,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005585,al-010246,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005586,al-010248,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005587,al-010250,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005588,al-010251,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005589,al-010252,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005590,al-010254,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005591,al-010256,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005592,al-010258,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005593,al-010260,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005594,al-010262,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005595,al-010264,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005596,al-010266,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005597,al-010268,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005598,al-010270,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005599,al-010272,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005600,al-010274,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005601,al-010275,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005602,al-010276,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005603,al-010278,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005604,al-010280,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005605,al-010282,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005606,al-010284,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005607,al-010285,ent-001,analyst-14,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005608,al-010286,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005609,al-010288,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005610,al-010290,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005611,al-010292,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005612,al-010294,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005613,al-010296,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005614,al-010298,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005615,al-010300,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005616,al-010302,ent-006,analyst-07,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005617,al-010304,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005618,al-010306,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005619,al-010308,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005620,al-010310,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005621,al-010312,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005622,al-010314,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005623,al-010316,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005624,al-010318,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005625,al-010319,ent-011,analyst-24,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005626,al-010320,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005627,al-010322,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005628,al-010324,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005629,al-010326,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005630,al-010328,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005631,al-010330,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005632,al-010332,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005633,al-010334,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005634,al-010335,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005635,al-010336,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005636,al-010338,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005637,al-010340,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005638,al-010342,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005639,al-010344,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005640,al-010346,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005641,al-010348,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005642,al-010350,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005643,al-010352,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005644,al-010353,ent-009,analyst-10,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005645,al-010354,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005646,al-010356,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005647,al-010358,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005648,al-010360,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005649,al-010362,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005650,al-010364,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005651,al-010366,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005652,al-010368,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005653,al-010370,ent-002,analyst-03,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005654,al-010372,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005655,al-010374,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005656,al-010376,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005657,al-010378,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005658,al-010380,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005659,al-010382,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005660,al-010384,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005661,al-010386,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005662,al-010387,ent-007,analyst-20,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005663,al-010388,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005664,al-010390,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005665,al-010392,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005666,al-010394,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005667,al-010395,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005668,al-010396,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005669,al-010398,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005670,al-010400,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005671,al-010402,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005672,al-010404,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005673,al-010406,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005674,al-010408,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005675,al-010410,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005676,al-010412,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005677,al-010414,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005678,al-010416,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005679,al-010418,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005680,al-010420,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005681,al-010421,ent-005,analyst-06,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005682,al-010422,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005683,al-010424,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005684,al-010426,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005685,al-010428,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005686,al-010430,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005687,al-010432,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005688,al-010434,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005689,al-010436,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005690,al-010438,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005691,al-010440,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005692,al-010442,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005693,al-010444,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005694,al-010446,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005695,al-010448,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005696,al-010450,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005697,al-010452,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005698,al-010454,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005699,al-010455,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005700,al-010456,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005701,al-010458,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005702,al-010460,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005703,al-010462,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005704,al-010464,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005705,al-010466,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005706,al-010468,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005707,al-010470,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005708,al-010472,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005709,al-010474,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005710,al-010476,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005711,al-010478,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005712,al-010480,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005713,al-010482,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005714,al-010484,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005715,al-010486,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005716,al-010488,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005717,al-010489,ent-001,analyst-02,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005718,al-010490,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005719,al-010492,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005720,al-010494,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005721,al-010496,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005722,al-010498,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005723,al-010500,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005724,al-010502,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005725,al-010504,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005726,al-010506,ent-006,analyst-19,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005727,al-010508,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005728,al-010510,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005729,al-010512,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005730,al-010514,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005731,al-010515,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005732,al-010516,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005733,al-010518,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005734,al-010520,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005735,al-010522,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005736,al-010523,ent-011,analyst-12,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005737,al-010524,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005738,al-010526,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005739,al-010528,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005740,al-010530,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005741,al-010532,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005742,al-010534,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005743,al-010536,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005744,al-010538,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005745,al-010540,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005746,al-010542,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005747,al-010544,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005748,al-010546,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005749,al-010548,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005750,al-010550,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005751,al-010552,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005752,al-010554,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005753,al-010556,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005754,al-010557,ent-009,analyst-22,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005755,al-010558,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005756,al-010560,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005757,al-010562,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005758,al-010564,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005759,al-010566,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005760,al-010568,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005761,al-010570,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005762,al-010572,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005763,al-010574,ent-002,analyst-15,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005764,al-010575,ent-003,analyst-16,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005765,al-010576,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005766,al-010578,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005767,al-010580,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005768,al-010582,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005769,al-010584,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005770,al-010586,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005771,al-010588,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005772,al-010590,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005773,al-010591,ent-007,analyst-08,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005774,al-010592,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005775,al-010594,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005776,al-010596,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005777,al-010598,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005778,al-010600,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005779,al-010602,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005780,al-010604,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005781,al-010606,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005782,al-010608,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005783,al-010610,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005784,al-010612,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005785,al-010614,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005786,al-010616,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005787,al-010618,ent-010,analyst-11,Validated the indicator against historical activity and documented the affected service boundary.,4,18
case-005788,al-010620,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005789,al-010622,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005790,al-010624,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005791,al-010625,ent-005,analyst-18,"Correlated telemetry with endpoint logs, reviewed operator actions, and confirmed containment.",1,2
case-005792,al-010626,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005793,al-010628,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005794,al-010630,ent-010,analyst-23,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005795,al-010632,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005796,al-010634,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005797,al-010635,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005798,al-010636,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005799,al-010638,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005800,al-010640,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
case-005801,al-010642,ent-010,analyst-11,Reviewed alert source and confirmed normal operations. No customer impact observed.,1,2
case-005802,al-010644,ent-012,analyst-13,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,20
case-005803,al-010646,ent-002,analyst-15,Validated the indicator against historical activity and documented the affected service boundary.,4,22
case-005804,al-010648,ent-004,analyst-17,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,24
case-005805,al-010650,ent-006,analyst-19,Validated the indicator against historical activity and documented the affected service boundary.,4,26
case-005806,al-010652,ent-008,analyst-21,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,28
case-005807,al-010654,ent-010,analyst-23,Validated the indicator against historical activity and documented the affected service boundary.,4,30
case-005808,al-010656,ent-012,analyst-01,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,8
case-005809,al-010658,ent-002,analyst-03,Validated the indicator against historical activity and documented the affected service boundary.,4,10
case-005810,al-010659,ent-003,analyst-04,"Checked source integrity, confirmed the event was isolated, and recorded remediation evidence.",1,2
case-005811,al-010660,ent-004,analyst-05,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,12
case-005812,al-010662,ent-006,analyst-07,Validated the indicator against historical activity and documented the affected service boundary.,4,14
case-005813,al-010664,ent-008,analyst-09,Reviewed alert source and confirmed normal operations. No customer impact observed.,2,16
